step,train_loss,train_loss_l,train_loss_u,val_loss,val_acc,pseudo_acc,accepted
63,1.9500,1.9500,0.0000,2.1109,0.2020,0.0000,0
126,1.7355,1.7355,0.0000,2.1109,0.2020,0.0000,0
189,1.6296,1.6291,0.0005,2.1109,0.2020,0.8667,15
252,1.5456,1.5438,0.0018,2.1109,0.2020,0.8679,53
315,1.4556,1.4518,0.0039,2.1109,0.2020,0.9254,134
378,1.3925,1.3825,0.0099,2.1109,0.2020,0.9386,277
441,1.3200,1.2982,0.0218,2.1109,0.2020,0.9297,768
504,1.2650,1.2254,0.0397,2.3779,0.3760,0.9449,1380
567,1.2248,1.1630,0.0618,2.3779,0.3760,0.9503,2174
630,1.1684,1.1083,0.0600,2.3779,0.3760,0.9504,2276
693,1.1313,1.0459,0.0854,2.3779,0.3760,0.9590,3314
756,1.1108,1.0284,0.0824,2.3779,0.3760,0.9618,3480
819,1.0737,0.9744,0.0992,2.3779,0.3760,0.9586,4086
882,1.0521,0.9567,0.0954,2.3779,0.3760,0.9694,4406
945,1.0263,0.9205,0.1058,2.3779,0.3760,0.9630,4709
1008,0.9767,0.8616,0.1152,2.1864,0.4840,0.9683,5430
1071,0.9479,0.8273,0.1206,2.1864,0.4840,0.9643,5875
1134,0.9491,0.8261,0.1230,2.1864,0.4840,0.9685,6134
1197,0.9155,0.7899,0.1256,2.1864,0.4840,0.9593,6542
1260,0.8867,0.7488,0.1379,2.1864,0.4840,0.9640,7037
1323,0.8724,0.7327,0.1398,2.1864,0.4840,0.9630,7307
1386,0.8350,0.6829,0.1521,2.1864,0.4840,0.9614,7903
1449,0.8243,0.6690,0.1554,2.1864,0.4840,0.9643,8271
1512,0.7996,0.6351,0.1646,2.5024,0.4880,0.9603,8650
1575,0.7663,0.6099,0.1564,2.5024,0.4880,0.9636,8947
1638,0.7671,0.5885,0.1786,2.5024,0.4880,0.9597,9577
1701,0.7424,0.5682,0.1742,2.5024,0.4880,0.9621,9691
1764,0.7244,0.5443,0.1800,2.5024,0.4880,0.9594,10062
1827,0.7008,0.5106,0.1902,2.5024,0.4880,0.9575,10648
1890,0.6817,0.4938,0.1879,2.5024,0.4880,0.9609,10756
1953,0.6784,0.4801,0.1983,2.5024,0.4880,0.9545,11008
2016,0.6694,0.4728,0.1966,1.0533,0.6840,0.9582,11044
2079,0.6251,0.4231,0.2020,1.0533,0.6840,0.9542,11724
2142,0.6153,0.4082,0.2071,1.0533,0.6840,0.9569,11924
2205,0.6143,0.3977,0.2166,1.0533,0.6840,0.9527,12397
2268,0.6151,0.3914,0.2237,1.0533,0.6840,0.9581,12421
2331,0.5841,0.3669,0.2172,1.0533,0.6840,0.9557,12696
2394,0.5587,0.3340,0.2247,1.0533,0.6840,0.9526,12963
2457,0.5758,0.3332,0.2426,1.0533,0.6840,0.9464,13590
2520,0.5800,0.3474,0.2326,1.7006,0.5820,0.9523,12989
2583,0.5329,0.3001,0.2328,1.7006,0.5820,0.9501,13732
2646,0.5575,0.3124,0.2451,1.7006,0.5820,0.9465,13935
2709,0.5492,0.3070,0.2422,1.7006,0.5820,0.9491,13822
2772,0.5237,0.2754,0.2483,1.7006,0.5820,0.9496,14375
2835,0.5080,0.2736,0.2345,1.7006,0.5820,0.9498,14190
2898,0.4788,0.2302,0.2486,1.7006,0.5820,0.9469,14647
2961,0.4834,0.2320,0.2514,1.7006,0.5820,0.9442,14743
3024,0.4881,0.2384,0.2497,1.2733,0.6510,0.9392,14798
3087,0.4777,0.2212,0.2564,1.2733,0.6510,0.9427,15098
3150,0.4685,0.2209,0.2476,1.2733,0.6510,0.9447,15166
3213,0.4608,0.1962,0.2646,1.2733,0.6510,0.9434,15538
3276,0.4674,0.2045,0.2630,1.2733,0.6510,0.9456,15602
3339,0.4425,0.1835,0.2589,1.2733,0.6510,0.9402,15731
3402,0.4402,0.1824,0.2578,1.2733,0.6510,0.9418,15729
3465,0.4148,0.1585,0.2563,1.2733,0.6510,0.9427,16187
3528,0.4426,0.1741,0.2685,1.0599,0.6930,0.9427,16097
3591,0.4334,0.1690,0.2644,1.0599,0.6930,0.9413,15886
3654,0.4323,0.1618,0.2706,1.0599,0.6930,0.9432,15993
3717,0.4100,0.1426,0.2674,1.0599,0.6930,0.9393,16382
3780,0.4279,0.1580,0.2699,1.0599,0.6930,0.9396,16415
3843,0.4097,0.1445,0.2652,1.0599,0.6930,0.9413,16514
3906,0.4180,0.1469,0.2711,1.0599,0.6930,0.9402,16601
3969,0.4019,0.1294,0.2724,1.0599,0.6930,0.9440,16739
